;MAT;SALDO;CREDITO;DEBITO;PAGAR;BANCO
jan/26;3485;1,858333333;3,8;3,95;1,9;-0,191666667
jan/26;3490;0;0;3,4;0;-3,4
jan/26;3491;0;0,183333333;5,616666667;0,091666667;-5,525
jan/26;3492;0;1,4;0;0,7;0,7
jan/26;3493;9,041666667;17,1;0,333333333;17,25833333;8,55
jan/26;3494;0;0;2,8;0;-2,8
jan/26;3495;0;0;2,466666667;0;-2,466666667
jan/26;3497;2,116666667;12,76666667;0;8,5;6,383333333
jan/26;3500;0;0;2,1;0;-2,1
jan/26;3502;1,966666667;8,316666667;1,05;5,075;4,158333333
fev/26;185;0;0;0;0;0
fev/26;208;0;0;0;0;0
fev/26;399;0;0;0;0;0
fev/26;409;0;0;0;0;0
fev/26;422;0;0;0;0;0
fev/26;531;0;0;0;0;0
fev/26;657;0;0;0;0;0
fev/26;802;-1,533333333;1,3;1,016666667;0,65;-1,9
fev/26;865;0;0;0;0;0
fev/26;1028;-4,8;6;2,15;3;-3,95
fev/26;1054;13;25,03333333;0;25,51666667;12,51666667
fev/26;1091;0;0;0;0;0
fev/26;1227;0;0;0;0;0
fev/26;1274;-3,8;0;5,95;0;-9,75
fev/26;1286;0;0;0;0;0
fev/26;1352;4,608333333;12,23333333;9,516666667;6,116666667;1,208333333
fev/26;1461;-1,441666667;10,55;0,716666667;5,275;3,116666667
fev/26;1489;19,64166667;36;0;37,64166667;18
fev/26;1540;-3,175;2,9;7,083333333;1,45;-8,808333333
fev/26;1579;0;0;0;0;0
fev/26;1580;17,13333333;43,98333333;3,566666667;35,55833333;21,99166667
fev/26;1842;10,8;22,03333333;0;21,81666667;11,01666667
fev/26;2113;12,80833333;24,5;0;25,05833333;12,25
fev/26;2120;0;0;0;0;0
fev/26;2133;0;0;0;0;0
fev/26;2240;-0,283333333;0;0;0;-0,283333333
fev/26;2249;16,125;32,38333333;0,216666667;32,1;16,19166667
fev/26;2316;0;0;0;0;0
fev/26;2339;0;0;0;0;0
fev/26;2401;0,108333333;0,75;0,183333333;0,375;0,3
fev/26;2406;-1,4;0;1,383333333;0;-2,783333333
fev/26;2427;0;0,366666667;0;0,183333333;0,183333333
fev/26;2456;17,1;35,15;0;34,675;17,575
fev/26;2571;0;0;0;0;0
fev/26;2602;0;0;0,25;0;-0,25
fev/26;2619;-4,716666667;0;6,383333333;0;-11,1
fev/26;2649;0;0;0;0;0
fev/26;2662;-1,616666667;1,066666667;2,716666667;0,533333333;-3,8
fev/26;2687;0;0;0;0;0
fev/26;2693;-2,741666667;1;12,98333333;0,5;-15,225
fev/26;2697;0;0;0;0;0
fev/26;2704;0;0;0;0;0
fev/26;2731;-1,266666667;0;0,616666667;0;-1,883333333
fev/26;2733;0;0;0;0;0
fev/26;2739;0;0;0;0;0
fev/26;2743;0;0;0;0;0
fev/26;2754;0;0;0;0;0
fev/26;2755;0;0;0;0;0
fev/26;2762;-0,183333333;0;0;0;-0,183333333
fev/26;2796;1,95;2,416666667;0;3,158333333;1,208333333
fev/26;2823;0;0;0,183333333;0;-0,183333333
fev/26;2837;-2,516666667;0,683333333;4,2;0,341666667;-6,375
fev/26;2857;15,84166667;37,05;0;34,36666667;18,525
fev/26;2883;17,53333333;9,966666667;0;22,51666667;4,983333333
fev/26;2892;0;0;0;0;0
fev/26;2902;0;0;0;0;0
fev/26;2919;0;0;0;0;0
fev/26;2926;0;0;0;0;0
fev/26;2931;0,591666667;0,183333333;4,316666667;0,091666667;-3,633333333
fev/26;2938;0;0;0;0;0
fev/26;2943;0;0;0;0;0
fev/26;2945;0;0;0;0;0
fev/26;2975;13,8;25,66666667;0;26,63333333;12,83333333
fev/26;2990;0;0;0;0;0
fev/26;2991;-1,541666667;2,616666667;0;1,308333333;-0,233333333
fev/26;3005;-3,258333333;0,866666667;8,016666667;0,433333333;-10,84166667
fev/26;3022;1,25;1,266666667;0;1,883333333;0,633333333
fev/26;3033;-1,75;1,583333333;1,883333333;0,791666667;-2,841666667
fev/26;3037;0;0;0;0;0
fev/26;3038;-2;0;1,283333333;0;-3,283333333
fev/26;3039;0;0;0;0;0
fev/26;3040;-3,883333333;0;0,566666667;0;-4,45
fev/26;3106;-4;0,283333333;3,816666667;0,141666667;-7,675
fev/26;3107;3,191666667;10,75;1,866666667;6,7;5,375
fev/26;3178;1,55;9,25;0,85;5,325;4,625
fev/26;3208;6,816666667;8,7;0;11,16666667;4,35
fev/26;3233;3,966666667;5,033333333;0;6,483333333;2,516666667
fev/26;3238;9,366666667;11,03333333;0;14,88333333;5,516666667
fev/26;3240;0,533333333;6,816666667;12;3,408333333;-8,058333333
fev/26;3254;-3,333333333;0,433333333;0,2;0,216666667;-3,316666667
fev/26;3256;-0,825;0,816666667;3,016666667;0,408333333;-3,433333333
fev/26;3261;7,191666667;15,56666667;0;14,975;7,783333333
fev/26;3265;-4,816666667;0;2,266666667;0;-7,083333333
fev/26;3266;0;0;0;0;0
fev/26;3274;3,325;10,46666667;4,333333333;5,233333333;4,225
fev/26;3278;0;0;0;0;0
fev/26;3280;13,1;25,83333333;5,7;20,31666667;12,91666667
fev/26;3325;3,991666667;9,2;1,633333333;6,958333333;4,6
fev/26;3328;-1,508333333;0;6,166666667;0;-7,675
fev/26;3330;1,941666667;5,4;0;4,641666667;2,7
fev/26;3345;0;0;0;0;0
fev/26;3346;-1,725;0,616666667;4,3;0,308333333;-5,716666667
fev/26;3351;0;3,833333333;3,4;1,916666667;-1,483333333
fev/26;3353;1,783333333;0;0;1,783333333;0
fev/26;3374;0,975;2,85;1,866666667;1,425;0,533333333
fev/26;3377;1,066666667;9,533333333;9;4,766666667;-3,166666667
fev/26;3385;12,15833333;21,86666667;0;23,09166667;10,93333333
fev/26;3386;13,08333333;24,06666667;0;25,11666667;12,03333333
fev/26;3387;5,175;8,366666667;0;9,358333333;4,183333333
fev/26;3392;-5,35;2,55;0,983333333;1,275;-5,058333333
fev/26;3401;7,45;13,68333333;0,183333333;14,10833333;6,841666667
fev/26;3403;1,75;14,15;16;7,075;-7,175
fev/26;3405;3,85;6,016666667;4,316666667;3,008333333;2,541666667
fev/26;3409;2,375;7,8;0,216666667;6,058333333;3,9
fev/26;3418;0,333333333;8,8;6,616666667;4,4;-1,883333333
fev/26;3419;0,591666667;5,616666667;1,233333333;2,808333333;2,166666667
fev/26;3435;-7,091666667;1,316666667;3,166666667;0,658333333;-9,6
fev/26;3437;-14,48333333;0;11,96666667;0;-26,45
fev/26;3441;8,033333333;25,65;0,8;20,05833333;12,825
fev/26;3443;2,508333333;8,983333333;0,316666667;6,683333333;4,491666667
fev/26;3446;0;7,933333333;0,7;3,966666667;3,266666667
fev/26;3462;-11,01666667;0,716666667;9,9;0,358333333;-20,55833333
fev/26;3465;-12,325;0,216666667;13,58333333;0,108333333;-25,8
fev/26;3466;-10,39166667;2,933333333;14,25;1,466666667;-23,175
fev/26;3469;-7,05;9,983333333;6,733333333;4,991666667;-8,791666667
fev/26;3470;-9,116666667;2,25;5,783333333;1,125;-13,775
fev/26;3472;21,25;35;0;38,75;17,5
fev/26;3475;-4,55;0;6,95;0;-11,5
fev/26;3476;-4,483333333;1,216666667;10,35;0,608333333;-14,225
fev/26;3477;-5,316666667;0,566666667;8;0,283333333;-13,03333333
fev/26;3478;-0,6;0;1,083333333;0;-1,683333333
fev/26;3479;-2,016666667;7,916666667;2,433333333;3,958333333;-0,491666667
fev/26;3480;15,19166667;21,78333333;10,41666667;15,66666667;10,89166667
fev/26;3482;-0,433333333;0;0;0;-0,433333333
fev/26;3483;0;0;0;0;0
fev/26;3484;-5,858333333;3,383333333;3,416666667;1,691666667;-7,583333333
fev/26;3485;-0,191666667;3,583333333;3,3;1,791666667;-1,7
fev/26;3491;-5,525;0;4,9;0;-10,425
fev/26;3492;0,7;1,083333333;0,65;0,591666667;0,541666667
fev/26;3493;8,55;9,983333333;0,3;13,24166667;4,991666667
fev/26;3494;-2,8;1,35;3,633333333;0,675;-5,758333333
fev/26;3495;-2,466666667;1,283333333;3,833333333;0,641666667;-5,658333333
fev/26;3497;6,383333333;20,1;0;16,43333333;10,05
fev/26;3500;-2,1;0;1,366666667;0;-3,466666667
fev/26;3502;4,158333333;12,61666667;0,4;10,06666667;6,308333333
fev/26;3504;0;9,016666667;1,1;4,508333333;3,408333333
fev/26;3505;0;5,066666667;0;2,533333333;2,533333333
mar/26;399;0;0;0;0;0
mar/26;409;0;0;0;0;0
mar/26;422;0;0;0;0;0
mar/26;657;0;0;0;0;0
mar/26;802;-1,9;1,5;4,983333333;0,75;-6,133333333
mar/26;1028;-3,95;4,183333333;4,4;2,091666667;-6,258333333
mar/26;1054;12,51666667;25,85;0;25,44166667;12,925
mar/26;1091;0;0;0;0;0
mar/26;1227;0;0;0;0;0
mar/26;1274;-9,75;0;4,6;0;-14,35
mar/26;1352;1,208333333;0;0;1,208333333;0
mar/26;1461;3,116666667;10,81666667;4,616666667;5,408333333;3,908333333
mar/26;1489;18;41;0;38,5;20,5
mar/26;1540;-8,808333333;2,433333333;1,95;1,216666667;-9,541666667
mar/26;1579;0;0;0;0;0
mar/26;1580;21,99166667;63,71666667;3,633333333;50,21666667;31,85833333
mar/26;1842;11,01666667;24,16666667;0;23,1;12,08333333
mar/26;2113;12,25;24,53333333;0;24,51666667;12,26666667
mar/26;2133;0;0;0;0;0
mar/26;2240;-0,283333333;0;0;0;-0,283333333
mar/26;2249;16,19166667;41,73333333;0;37,05833333;20,86666667
mar/26;2401;0,3;23,08333333;1,116666667;11,54166667;10,725
mar/26;2406;-2,783333333;0;3,533333333;0;-6,316666667
mar/26;2427;0,183333333;12,18333333;0,8;6,091666667;5,475
mar/26;2456;17,575;40,85;0;38;20,425
mar/26;2571;0;0;0;0;0
mar/26;2602;-0,25;0;0;0;-0,25
mar/26;2619;-11,1;0;6,366666667;0;-17,46666667
mar/26;2649;0;0;0;0;0
mar/26;2662;-3,8;1,266666667;1,5;0,633333333;-4,666666667
mar/26;2687;0;0;0;0;0
mar/26;2693;-15,225;3,85;10,5;1,925;-23,8
mar/26;2697;0;0;0;0;0
mar/26;2704;0;0;0;0;0
mar/26;2731;-1,883333333;0;6,183333333;0;-8,066666667
mar/26;2733;0;0;0,266666667;0;-0,266666667
mar/26;2739;0;0;0,8;0;-0,8
mar/26;2743;0;0;0;0;0
mar/26;2754;0;0;0;0;0
mar/26;2755;0;0;0;0;0
mar/26;2762;-0,183333333;3,216666667;6,85;1,608333333;-5,425
mar/26;2796;1,208333333;0,483333333;1,716666667;0,241666667;-0,266666667
mar/26;2823;-0,183333333;0;0,2;0;-0,383333333
mar/26;2837;-6,375;1,233333333;1,966666667;0,616666667;-7,725
mar/26;2857;18,525;38,91666667;0;37,98333333;19,45833333
mar/26;2883;4,983333333;41,96666667;0;25,96666667;20,98333333
mar/26;2926;0;0;0;0;0
mar/26;2931;-3,633333333;0,333333333;2,083333333;0,166666667;-5,55
mar/26;2975;12,83333333;27,78333333;0;26,725;13,89166667
mar/26;2990;0;0;0;0;0
mar/26;2991;-0,233333333;0,75;0;0,375;0,141666667
mar/26;3005;-10,84166667;0,383333333;1,933333333;0,191666667;-12,58333333
mar/26;3022;0,633333333;0;2,283333333;0;-1,65
mar/26;3037;0;0;0;0;0
mar/26;3038;-3,283333333;0;6,15;0;-9,433333333
mar/26;3039;0;0;1,85;0;-1,85
mar/26;3040;-4,45;0;0,4;0;-4,85
mar/26;3106;-7,675;0;10,08333333;0;-17,75833333
mar/26;3107;5,375;4,533333333;4,266666667;3,375;2,266666667
mar/26;3178;4,625;9,85;4,166666667;5,383333333;4,925
mar/26;3208;4,35;15,4;0;12,05;7,7
mar/26;3233;2,516666667;11,45;0;8,241666667;5,725
mar/26;3238;5,516666667;9,716666667;0;10,375;4,858333333
mar/26;3240;-8,058333333;9,433333333;8;4,716666667;-11,34166667
mar/26;3254;-3,316666667;0;39,18333333;0;-42,5
mar/26;3256;-3,433333333;2,816666667;3,133333333;1,408333333;-5,158333333
mar/26;3261;7,783333333;17,4;0;16,48333333;8,7
mar/26;3265;-7,083333333;0;0,4;0;-7,483333333
mar/26;3266;0;0;0;0;0
mar/26;3274;4,225;9,733333333;4,283333333;4,866666667;4,808333333
mar/26;3278;0;0;0;0;0
mar/26;3280;12,91666667;55,56666667;2,8;37,9;27,78333333
mar/26;3325;4,6;13,43333333;2,066666667;9,25;6,716666667
mar/26;3328;-7,675;7,2;6,25;3,6;-10,325
mar/26;3330;2,7;7,083333333;0;6,241666667;3,541666667
mar/26;3345;0;0;0;0;0
mar/26;3346;-5,716666667;0;0;0;-5,716666667
mar/26;3351;-1,483333333;4,9;10,85;2,45;-9,883333333
mar/26;3353;0;7,183333333;2,733333333;3,591666667;0,858333333
mar/26;3374;0,533333333;2,983333333;0;2,025;1,491666667
mar/26;3377;-3,166666667;10,9;9,85;5,45;-7,566666667
mar/26;3385;10,93333333;14,15;0;18,00833333;7,075
mar/26;3386;12,03333333;27,11666667;0;25,59166667;13,55833333
mar/26;3387;4,183333333;2,05;4,3;1,025;0,908333333
mar/26;3392;-5,058333333;0,85;41,4;0,425;-46,03333333
mar/26;3401;6,841666667;18,21666667;7,333333333;9,108333333;8,616666667
mar/26;3403;-7,175;14,43333333;7,416666667;7,216666667;-7,375
mar/26;3405;2,541666667;0,566666667;10,05;0,283333333;-7,225
mar/26;3409;3,9;13,63333333;0,833333333;9,883333333;6,816666667
mar/26;3418;-1,883333333;6,933333333;7,233333333;3,466666667;-5,65
mar/26;3419;2,166666667;0,666666667;1,833333333;0,666666667;0,333333333
mar/26;3435;-9,6;1,116666667;4,1;0,558333333;-13,14166667
mar/26;3441;12,825;22,15;0;23,9;11,075
mar/26;3443;4,491666667;7,65;0,183333333;8,133333333;3,825
mar/26;3446;3,266666667;2,85;2,3;2,391666667;1,425
mar/26;3462;-20,55833333;0,583333333;9,116666667;0,291666667;-29,38333333
mar/26;3465;-25,8;0;12,73333333;0;-38,53333333
